,sub,Hue Angle,Prior
1099,sAVG,38.0001,0.004721415934866789
1100,sAVG,40.0001,0.005004063404129828
1101,sAVG,42.0001,0.005298974348595435
1102,sAVG,44.0001,0.005605953400955504
1103,sAVG,46.0001,0.0059247070831222985
1104,sAVG,48.0001,0.006254837418418443
1105,sAVG,50.0001,0.006595836294256978
1106,sAVG,52.0001,0.006947080748691733
1107,sAVG,54.0001,0.007307829353469708
1108,sAVG,56.0001,0.00767721986098517
1109,sAVG,58.0001,0.008054268272455603
1110,sAVG,60.0001,0.008437869469473865
1111,sAVG,62.0001,0.008826799530751446
1112,sAVG,64.0001,0.009219719830439505
1113,sAVG,66.0001,0.009615182984171687
1114,sAVG,68.0001,0.01001164067438827
1115,sAVG,70.0001,0.010407453348247924
1116,sAVG,72.0001,0.010800901740377837
1117,sAVG,74.0001,0.011190200129897408
1118,sAVG,76.0001,0.011573511197767
1119,sAVG,78.0001,0.011948962307867099
1120,sAVG,80.0001,0.012314662994678628
1121,sAVG,82.0001,0.012668723403404757
1122,sAVG,84.0001,0.013009273396201615
1123,sAVG,86.0001,0.01333448201212721
1124,sAVG,88.0001,0.013642576949576803
1125,sAVG,90.0001,0.013931863729242733
1126,sAVG,92.0001,0.014200744193654802
1127,sAVG,94.0001,0.014447734006466841
1128,sAVG,96.0001,0.014671478830879141
1129,sAVG,98.0001,0.014870768891615689
1130,sAVG,100.0001,0.015044551658070657
1131,sAVG,102.0001,0.015191942426651355
1132,sAVG,104.0001,0.01531223262674791
1133,sAVG,106.0001,0.015404895725697271
1134,sAVG,108.0001,0.015469590661953215
1135,sAVG,110.0001,0.015506162790694375
1136,sAVG,112.0001,0.015514642380537323
1137,sAVG,114.0001,0.01549524075215349
1138,sAVG,116.0001,0.015448344197814531
1139,sAVG,118.0001,0.015374505863788525
1140,sAVG,120.0001,0.01527443581389406
1141,sAVG,122.0001,0.015148989521486394
1142,sAVG,124.0001,0.014999155058104856
1143,sAVG,126.0001,0.014826039259682613
1144,sAVG,128.0001,0.014630853155660444
1145,sAVG,130.0001,0.01441489694291025
1146,sAVG,132.0001,0.014179544775691933
1147,sAVG,134.0001,0.013926229625799475
1148,sAVG,136.0001,0.013656428444640096
1149,sAVG,138.0001,0.013371647832399993
1150,sAVG,140.0001,0.013073410389910738
1151,sAVG,142.0001,0.012763241897580366
1152,sAVG,144.0001,0.012442659433982229
1153,sAVG,146.0001,0.01211316051549936
1154,sAVG,148.0001,0.011776213308764584
1155,sAVG,150.0001,0.011433247940317793
1156,sAVG,152.0001,0.011085648903539112
1157,sAVG,154.0001,0.010734748541941121
1158,sAVG,156.0001,0.010381821570555646
1159,sAVG,158.0001,0.01002808058349731
1160,sAVG,160.0001,0.009674672485734474
1161,sAVG,162.0001,0.009322675780421482
1162,sAVG,164.0001,0.008973098639512244
1163,sAVG,166.0001,0.008626877684374007
1164,sAVG,168.0001,0.008284877404296431
1165,sAVG,170.0001,0.007947890143669286
1166,sAVG,172.0001,0.007616636592715572
1167,sAVG,174.0001,0.007291766721574813
1168,sAVG,176.0001,0.006973861102840862
1169,sAVG,178.0001,0.006663432573032516
1170,sAVG,180.0001,0.006360928188642418
1171,sAVG,182.0001,0.006066731437165974
1172,sAVG,184.0001,0.005781164667721253
1173,sAVG,186.0001,0.005504491709456661
1174,sAVG,188.0001,0.005236920648887266
1175,sAVG,190.0001,0.004978606739627607
1176,sAVG,192.0001,0.004729655419761699
1177,sAVG,194.0001,0.004490125413396371
1178,sAVG,196.0001,0.004260031893886204
1179,sAVG,198.0001,0.0040393496869059195
1180,sAVG,200.0001,0.003828016492087503
1181,sAVG,202.0001,0.0036259361024342813
1182,sAVG,204.0001,0.0034329816012592775
1183,sAVG,206.0001,0.0032489985170404676
1184,sAVG,208.0001,0.0030738079173928544
1185,sAVG,210.0001,0.0029072094243595913
1186,sAVG,212.0001,0.0027489841344361704
1187,sAVG,214.0001,0.0025988974281614978
1188,sAVG,216.0001,0.0024567016557209428
