,sub,Hue Angle,Prior
0,s1,0.0001,0.003354684766826837
1,s1,2.0001,0.0036582004328598273
2,s1,4.0001,0.003970959822329121
3,s1,6.0001,0.004291439202927689
4,s1,8.0001,0.004618077231327727
5,s1,10.0001,0.004949282559888413
6,s1,12.0001,0.00528344158954164
7,s1,14.0001,0.005618926331084487
8,s1,16.0001,0.005954102336578965
9,s1,18.0001,0.006287336662218078
10,s1,20.0001,0.006617005823863912
11,s1,22.0001,0.006941503706499156
12,s1,24.0001,0.007259249389058023
13,s1,26.0001,0.007568694846514772
14,s1,28.0001,0.00786833249170602
15,s1,30.0001,0.008156702520143869
16,s1,32.0001,0.008432400022036624
17,s1,34.0001,0.008694081826868075
18,s1,36.0001,0.008940473047189248
19,s1,38.0001,0.009170373289741901
20,s1,40.0001,0.009382662503653806
21,s1,42.0001,0.00957630643721402
22,s1,44.0001,0.00975036167664326
23,s1,46.0001,0.009903980242310996
24,s1,48.0001,0.010036413720006984
25,s1,50.0001,0.010147016907140049
26,s1,52.0001,0.010235250956100277
27,s1,54.0001,0.010300685999470387
28,s1,56.0001,0.01034300324429659
29,s1,58.0001,0.010361996525215803
30,s1,60.0001,0.010357573308872589
31,s1,62.0001,0.010329755144732352
32,s1,64.0001,0.010278677560094509
33,s1,66.0001,0.010204589399817117
34,s1,68.0001,0.010107851613969732
35,s1,70.0001,0.009988935499320948
36,s1,72.0001,0.009848420403227937
37,s1,74.0001,0.00968699090111433
38,s1,76.0001,0.009505433461287589
39,s1,78.0001,0.00930463261334446
40,s1,80.0001,0.009085566638831694
41,s1,82.0001,0.008849302805156679
42,s1,84.0001,0.00859699216596792
43,s1,86.0001,0.008329863953337374
44,s1,88.0001,0.008049219589065336
45,s1,90.0001,0.007756426344284277
46,s1,92.0001,0.007452910678251286
47,s1,94.0001,0.0071401512887819905
48,s1,96.0001,0.006819671908183423
49,s1,98.0001,0.006493033879783386
50,s1,100.0001,0.0061618285512227014
51,s1,102.0001,0.005827669521569472
52,s1,104.0001,0.0054921847800266255
53,s1,106.0001,0.005157008774532147
54,s1,108.0001,0.004823774448893035
55,s1,110.0001,0.004494105287247201
56,s1,112.0001,0.0041696074046119564
57,s1,114.0001,0.003851861722053089
58,s1,116.0001,0.0035424162645963414
59,s1,118.0001,0.003242778619405092
60,s1,120.0001,0.002954408590967243
61,s1,122.0001,0.00267871108907449
62,s1,124.0001,0.0024170292842430378
63,s1,126.0001,0.0021706380639218625
64,s1,128.0001,0.001940737821369211
65,s1,130.0001,0.0017284486074573102
66,s1,132.0001,0.0015348046738970953
67,s1,134.0001,0.0013607494344678552
68,s1,136.0001,0.0012071308688001174
69,s1,138.0001,0.001074697391104131
70,s1,140.0001,0.0009640942039710647
71,s1,142.0001,0.0008758601550108366
72,s1,144.0001,0.000810425111640726
73,s1,146.0001,0.0007681078668145246
74,s1,148.0001,0.0007491145858953105
75,s1,150.0001,0.0007535378022385237
76,s1,152.0001,0.0007813559663787607
77,s1,154.0001,0.0008324335510166033
78,s1,156.0001,0.0009065217112939957
79,s1,158.0001,0.0010032594971413826
80,s1,160.0001,0.001122175611790164
81,s1,162.0001,0.0012626907078831765
82,s1,164.0001,0.001424120209996784
83,s1,166.0001,0.0016056776498235244
84,s1,168.0001,0.00180647849776665
85,s1,170.0001,0.002025544472279418
86,s1,172.0001,0.0022618083059544342
87,s1,174.0001,0.0025141189451431917
88,s1,176.0001,0.0027812471577737387
89,s1,178.0001,0.003061891522045774
90,s1,180.0001,0.003354684766826837
91,s1,182.0001,0.0036582004328598273
92,s1,184.0001,0.003970959822329122
93,s1,186.0001,0.004291439202927686
94,s1,188.0001,0.004618077231327724
95,s1,190.0001,0.004949282559888411
96,s1,192.0001,0.005283441589541638
97,s1,194.0001,0.005618926331084485
98,s1,196.0001,0.005954102336578964
99,s1,198.0001,0.006287336662218078
100,s1,200.0001,0.006617005823863913
101,s1,202.0001,0.006941503706499157
102,s1,204.0001,0.00725924938905802
103,s1,206.0001,0.00756869484651477
104,s1,208.0001,0.007868332491706018
105,s1,210.0001,0.008156702520143869
106,s1,212.0001,0.00843240002203662
107,s1,214.0001,0.008694081826868073
108,s1,216.0001,0.008940473047189248
109,s1,218.0001,0.009170373289741901
110,s1,220.0001,0.009382662503653806
111,s1,222.0001,0.009576306437214018
112,s1,224.0001,0.00975036167664326
113,s1,226.0001,0.009903980242310996
114,s1,228.0001,0.010036413720006982
115,s1,230.0001,0.01014701690714005
116,s1,232.0001,0.010235250956100277
117,s1,234.0001,0.010300685999470387
118,s1,236.0001,0.01034300324429659
119,s1,238.0001,0.010361996525215803
120,s1,240.0001,0.010357573308872589
121,s1,242.0001,0.010329755144732352
122,s1,244.0001,0.010278677560094509
123,s1,246.0001,0.010204589399817117
124,s1,248.0001,0.010107851613969729
125,s1,250.0001,0.009988935499320948
126,s1,252.0001,0.009848420403227937
127,s1,254.0001,0.009686990901114328
128,s1,256.0001,0.009505433461287589
129,s1,258.0001,0.009304632613344464
130,s1,260.0001,0.009085566638831692
131,s1,262.0001,0.008849302805156679
132,s1,264.0001,0.00859699216596792
133,s1,266.0001,0.008329863953337376
134,s1,268.0001,0.008049219589065345
135,s1,270.0001,0.0077564263442842785
136,s1,272.0001,0.007452910678251291
137,s1,274.0001,0.007140151288781992
138,s1,276.0001,0.006819671908183429
139,s1,278.0001,0.0064930338797833855
140,s1,280.0001,0.006161828551222704
141,s1,282.0001,0.005827669521569472
142,s1,284.0001,0.005492184780026629
143,s1,286.0001,0.005157008774532155
144,s1,288.0001,0.004823774448893036
145,s1,290.0001,0.004494105287247206
146,s1,292.0001,0.004169607404611958
147,s1,294.0001,0.003851861722053094
148,s1,296.0001,0.0035424162645963414
149,s1,298.0001,0.0032427786194050953
150,s1,300.0001,0.0029544085909672425
151,s1,302.0001,0.002678711089074493
152,s1,304.0001,0.0024170292842430434
153,s1,306.0001,0.0021706380639218647
154,s1,308.0001,0.0019407378213692158
155,s1,310.0001,0.0017284486074573085
156,s1,312.0001,0.001534804673897096
157,s1,314.0001,0.0013607494344678535
158,s1,316.0001,0.001207130868800118
159,s1,318.0001,0.0010746973911041297
160,s1,320.0001,0.0009640942039710647
161,s1,322.0001,0.0008758601550108378
162,s1,324.0001,0.000810425111640726
163,s1,326.0001,0.0007681078668145252
164,s1,328.0001,0.0007491145858953105
165,s1,330.0001,0.0007535378022385237
166,s1,332.0001,0.0007813559663787614
167,s1,334.0001,0.0008324335510166033
168,s1,336.0001,0.0009065217112939962
169,s1,338.0001,0.0010032594971413826
170,s1,340.0001,0.0011221756117901615
171,s1,342.0001,0.0012626907078831758
172,s1,344.0001,0.0014241202099967809
173,s1,346.0001,0.0016056776498235244
174,s1,348.0001,0.00180647849776665
