index,sub,mu,kappa,mu_deg
0,s1,2.0493816611636877,4.883593860926311,117.42091979618904
0,s1,1.9024974401980308,4.836735029078155,109.0050738577899
0,s1,1.9380755874189908,4.587308986123634,111.043551536446
0,s1,1.991729830622459,4.5121781506874346,114.1177132249732
0,s1,1.9993933218698676,4.554153029213698,114.55679892978517
0,s1,1.9545444880635043,4.7600975542240835,111.98715003659692
0,s1,2.0188896307403428,4.603209433781574,115.67385514414687
0,s1,2.034498502000887,4.731110315880521,116.5681775903391
0,s1,1.9226824762717492,4.955557532659381,110.16159123413327
0,s1,2.001418467966296,4.917973565039409,114.67283125400792
0,s1,1.9075847324825093,4.782291601605503,109.29655423483997
0,s1,1.9057164516720777,4.660922829179922,109.18950962945696
0,s1,1.9829373918092972,4.553921721228258,113.61394358935202
0,s1,1.9599318360016342,4.774735304764837,112.29582233622025
0,s1,2.0281975264259686,4.883405765522856,116.20715828308126
0,s1,1.9258072809410824,4.666788589714156,110.34062935348885
0,s1,1.9305752826530855,4.561897131457084,110.61381572829777
0,s1,2.0012757431927515,4.568507348802763,114.66465372685185
0,s1,2.0197269373358226,4.921318914039704,115.72182927822634
0,s1,1.9406314670338602,4.819251525605294,111.18999265132155
0,s1,2.0311776138448536,4.845087838397402,116.3779047147634
0,s1,1.9057563655152723,4.769704623484808,109.19179652421616
0,s1,1.9588349429224214,4.508198354365279,112.23297499220426
0,s1,1.994843750873711,5.149547937935019,114.29612771311027
0,s1,2.0110043598554457,4.562780553042582,115.22206240212488
0,s1,1.9335898884670184,4.645113885016879,110.78653991833173
0,s1,1.94438571546383,4.733059219847257,111.40509524160242
0,s1,1.998834450983613,4.709043645336191,114.52477798671003
0,s1,1.9131358992281013,4.800246261695341,109.61461266073577
0,s1,1.98329698854738,4.659797634633719,113.63454696477083
0,s1,1.9532498416698756,4.49569104260385,111.91297226228015
0,s1,1.9451386226907534,4.83074567016558,111.44823364807004
0,s1,1.9465464176492233,4.68210781586002,111.52889435761016
0,s1,1.93989560849236,4.933595065102231,111.14783106257492
0,s1,2.0102630647217157,4.832696209023786,115.17958931958856
0,s1,1.996730535339739,4.6990062036309475,114.40423249986452
0,s1,1.9332029634831969,4.600246486080827,110.76437074977059
0,s1,1.9917820990079478,4.980309382198903,114.12070798286368
0,s1,1.9296011541779614,4.8172221252211065,110.55800227796965
0,s1,1.9244718717940967,4.628906514541483,110.2641160454434
0,s1,1.9685338432126354,4.789121302726274,112.78868104475173
0,s1,1.9506343068059626,4.527475788302456,111.76311315340861
0,s1,1.9544933942350682,5.013193915887947,111.98422257586836
0,s1,1.9283422637640748,4.60870125412181,110.48587317038447
0,s1,1.9781138255667956,4.617770894348581,113.3375736014549
