,sub,Hue Angle,Prior
0,s1,0.0001,0.000573082723021404
1,s1,2.0001,0.0006604087752616892
2,s1,4.0001,0.0007536988098142052
3,s1,6.0001,0.0008528391671420789
4,s1,8.0001,0.0009577090599913064
5,s1,10.0001,0.0010681807205514208
6,s1,12.0001,0.0011841195561208835
7,s1,14.0001,0.0013053843130875619
8,s1,16.0001,0.0014318272490244947
9,s1,18.0001,0.0015632943126912872
10,s1,20.0001,0.0016996253317218069
11,s1,22.0001,0.0018406542077695506
12,s1,24.0001,0.001986209118872885
13,s1,26.0001,0.0021361127287936486
14,s1,28.0001,0.002290182403074033
15,s1,30.0001,0.0024482304315485413
16,s1,32.0001,0.0026100642570399094
17,s1,34.0001,0.0027754867099603663
18,s1,36.0001,0.0029442962485324038
19,s1,38.0001,0.0031162872043363874
20,s1,40.0001,0.0032912500328858476
21,s1,42.0001,0.0034689715689251526
22,s1,44.0001,0.0036492352861385424
23,s1,46.0001,0.0038318215609540905
24,s1,48.0001,0.004016507940121194
25,s1,50.0001,0.004203069411735592
26,s1,52.0001,0.004391278679381716
27,s1,54.0001,0.004580906439058353
28,s1,56.0001,0.004771721658550256
29,s1,58.0001,0.004963491858905302
30,s1,60.0001,0.0051559833976742965
31,s1,62.0001,0.005348961753568296
32,s1,64.0001,0.005542191812186682
33,s1,66.0001,0.005735438152467835
34,s1,68.0001,0.0059284653335134425
35,s1,70.0001,0.0061210381814369545
36,s1,72.0001,0.0063129220758867495
37,s1,74.0001,0.006503883235894892
38,s1,76.0001,0.006693689004703222
39,s1,78.0001,0.006882108133219784
40,s1,80.0001,0.00706891106176022
41,s1,82.0001,0.007253870199730892
42,s1,84.0001,0.0074367602029129535
43,s1,86.0001,0.007617358248009571
44,s1,88.0001,0.0077954443041217914
45,s1,90.0001,0.007970801400822295
46,s1,92.0001,0.008143215892500444
47,s1,94.0001,0.008312477718656543
48,s1,96.0001,0.008478380659828208
49,s1,98.0001,0.008640722588837009
50,s1,100.0001,0.008799305717049307
51,s1,102.0001,0.008953936835351235
52,s1,104.0001,0.009104427549544237
53,s1,106.0001,0.009250594509874387
54,s1,108.0001,0.009392259634415817
55,s1,110.0001,0.009529250326036114
56,s1,112.0001,0.009661399682679336
57,s1,114.0001,0.009788546700710462
58,s1,116.0001,0.009910536471073518
59,s1,118.0001,0.010027220368024399
60,s1,120.0001,0.010138456230208447
61,s1,122.0001,0.010244108533862161
62,s1,124.0001,0.010344048557928032
63,s1,126.0001,0.010438154540881312
64,s1,128.0001,0.010526311829077687
65,s1,130.0001,0.010608413016441085
66,s1,132.0001,0.010684358075321422
67,s1,134.0001,0.010754054478362883
68,s1,136.0001,0.010817417311234279
69,s1,138.0001,0.010874369376084048
70,s1,140.0001,0.010924841285593965
71,s1,142.0001,0.010968771547516895
72,s1,144.0001,0.011006106639595621
